seed,fold,macro_f1,seed_mean,seed_std
42,1,0.4265,0.4126,0.0201
42,2,0.3842,0.4126,0.0201
42,3,0.427,0.4126,0.0201
123,1,0.4392,0.4311,0.0449
123,2,0.4816,0.4311,0.0449
123,3,0.3725,0.4311,0.0449
7,1,0.4625,0.4628,0.0202
7,2,0.4381,0.4628,0.0202
7,3,0.4877,0.4628,0.0202
